id,location_id,service_id,organization_id,number,extension,type,description
7bfdc2e6-e851-46ec-91bd-32e644056465,971eb4b2-ee5d-474f-9056-6bd67c1487b5,service_4373,ea5fba68-1125-fa0f-fe64-2d00afe89037,+14156440504,,phone,
ba22781b-b1e6-4071-af49-6ebf26450493,971eb4b2-ee5d-474f-9056-6bd67c1487b5,service_4373,ea5fba68-1125-fa0f-fe64-2d00afe89037,+18773843578,,domestic violence hotline,
f812262b-ddad-46a4-ac1b-e37d88812051,971eb4b2-ee5d-474f-9056-6bd67c1487b5,service_4373,ea5fba68-1125-fa0f-fe64-2d00afe89037,+18002736222,,after hours assistance,
2c3ec176-5d41-4c57-b378-c2e5ff6b4a8a,0aeacac3-b4b4-4295-a696-7858d4e1b6e0,service_36,8d654c5a-3e9e-cb74-5ac2-00c06ee26f45,+14152003575,,text support line during business hours 8:30am- 5pm monday through friday,
8b67acfd-b0d0-4abd-96ce-ab41cd62b16a,0aeacac3-b4b4-4295-a696-7858d4e1b6e0,service_36,8d654c5a-3e9e-cb74-5ac2-00c06ee26f45,+18775031850,,"24 hr adult crisis & support hotline, including shelter information",
95e81c1d-0ac1-446c-b739-540eb9938d01,0aeacac3-b4b4-4295-a696-7858d4e1b6e0,service_36,8d654c5a-3e9e-cb74-5ac2-00c06ee26f45,+18779230700,,24 hr teen crisis & support hotline,
c0deef44-fd7f-4cb1-961e-32bd62f9a932,0aeacac3-b4b4-4295-a696-7858d4e1b6e0,service_36,8d654c5a-3e9e-cb74-5ac2-00c06ee26f45,+14155030500,,business line,
64f07465-8153-4908-aa8a-c94a073ee9c0,961d15a2-52e6-46fa-9002-b8c7fa09f50f,service_3373,8848bc30-8045-abb3-3465-2d2278492d1a,+14152826209,,main office,
aa8843a5-5a0c-4a66-85e2-4c0ea0ae5853,961d15a2-52e6-46fa-9002-b8c7fa09f50f,service_3373,8848bc30-8045-abb3-3465-2d2278492d1a,+18007352929,,tdd/tty english,
e5e2eb5a-b654-47b9-a7a3-14062fa07b7d,961d15a2-52e6-46fa-9002-b8c7fa09f50f,service_3373,8848bc30-8045-abb3-3465-2d2278492d1a,+18008553000,,tdd/tty spanish,
fce268db-078e-499b-a5f0-b56d5b4c0b2c,961d15a2-52e6-46fa-9002-b8c7fa09f50f,service_3373,8848bc30-8045-abb3-3465-2d2278492d1a,+1711,,california relay service tdd/tyy,
349f5724-0f77-4703-8479-6fdcd0033e60,961d15a2-52e6-46fa-9002-b8c7fa09f50f,service_3373,8848bc30-8045-abb3-3465-2d2278492d1a,+14152001548,,24 hr hotline legal service - ice reporting ,
7d158cd8-8e44-4eda-ab7f-c100ffaabca9,961d15a2-52e6-46fa-9002-b8c7fa09f50f,service_3373,8848bc30-8045-abb3-3465-2d2278492d1a,+14158577717,,donations,
19268900-a65d-40c4-88fc-7339dfaee563,961d15a2-52e6-46fa-9002-b8c7fa09f50f,service_3373,8848bc30-8045-abb3-3465-2d2278492d1a,+14158577717,,media inquiries,
9f09d06b-2347-4b07-8600-9ac80207ede2,961d15a2-52e6-46fa-9002-b8c7fa09f50f,service_3373,8848bc30-8045-abb3-3465-2d2278492d1a,+14152822826,,fax,
9574eb15-373f-4ec0-a94b-2a8eb6fe083c,2d6d2f9a-f5f5-43cb-ab79-ba0d203012ae,service_2679,ea5fba68-1125-fa0f-fe64-2d00afe89037,+14156440504,,phone,
ba389ae9-8662-4569-a437-50ab68f37964,2d6d2f9a-f5f5-43cb-ab79-ba0d203012ae,service_2679,ea5fba68-1125-fa0f-fe64-2d00afe89037,+18773843578,,domestic violence hotline,
107d8876-4264-4a29-9fa2-cb81da152028,2d6d2f9a-f5f5-43cb-ab79-ba0d203012ae,service_2679,ea5fba68-1125-fa0f-fe64-2d00afe89037,+18002736222,,after hours assistance,
e022b9e4-78d5-41b8-b998-c8114e7e59d5,9825b40f-4fe0-4553-8ca8-113dd2a2e669,service_2460,537ad64c-6a0b-0900-dac3-1c55f2a7e204,+18555575100,,calworks,
06a44e13-3d5c-4d2a-b804-a5f6b5b971bf,9825b40f-4fe0-4553-8ca8-113dd2a2e669,service_2460,537ad64c-6a0b-0900-dac3-1c55f2a7e204,+14155575000,,otis service center,
714bc74e-2809-4957-afb1-b7a5dbd451f9,9825b40f-4fe0-4553-8ca8-113dd2a2e669,service_2460,537ad64c-6a0b-0900-dac3-1c55f2a7e204,+18008075799,,county veterans service office (cvso),
5371a69f-fbd0-46c4-879c-cfaedaacc316,9825b40f-4fe0-4553-8ca8-113dd2a2e669,service_2460,537ad64c-6a0b-0900-dac3-1c55f2a7e204,+14155575771,,fraud hotline,
97a37814-2442-4799-bef9-eb4b20d30c60,9825b40f-4fe0-4553-8ca8-113dd2a2e669,service_2460,537ad64c-6a0b-0900-dac3-1c55f2a7e204,+18775621669,,jobsnow! employers & job seekers,
2fbbac5a-f5ed-482a-9d07-3e8549b06a04,9825b40f-4fe0-4553-8ca8-113dd2a2e669,service_2460,537ad64c-6a0b-0900-dac3-1c55f2a7e204,+14153556700,,in-home supportive services (ihss),
8aecd5c2-fb08-4356-a975-9804c42f7299,9825b40f-4fe0-4553-8ca8-113dd2a2e669,service_2460,537ad64c-6a0b-0900-dac3-1c55f2a7e204,+14153556700,,adult protective services (aps),
3b7eb271-e530-4d0d-8e9a-58e14df8f21c,9825b40f-4fe0-4553-8ca8-113dd2a2e669,service_2460,537ad64c-6a0b-0900-dac3-1c55f2a7e204,+14153553555,,das admin offices,
aa620c96-8621-46c5-8de3-0141dc7675ec,9825b40f-4fe0-4553-8ca8-113dd2a2e669,service_2460,537ad64c-6a0b-0900-dac3-1c55f2a7e204,+14153556700,,das benefits and resources hub,
bb20c7c8-3a20-4e3a-88ab-823f81a90e20,9825b40f-4fe0-4553-8ca8-113dd2a2e669,service_2460,537ad64c-6a0b-0900-dac3-1c55f2a7e204,+14159344200,,county veterans service office (cvso),
bd1c7433-9f94-45d6-9886-55e6864b7dfa,9825b40f-4fe0-4553-8ca8-113dd2a2e669,service_2460,537ad64c-6a0b-0900-dac3-1c55f2a7e204,+14153553555,,general information (disability & aging services),
6ce9b72e-a083-4b05-9591-95f18ae66613,9825b40f-4fe0-4553-8ca8-113dd2a2e669,service_2460,537ad64c-6a0b-0900-dac3-1c55f2a7e204,+18553555757,,calfresh/medical (1440 harrison st),
0f8a1d02-2d8d-425f-b056-0c83ff108774,9825b40f-4fe0-4553-8ca8-113dd2a2e669,service_2460,537ad64c-6a0b-0900-dac3-1c55f2a7e204,+14155584700,,voice,
7ebfd495-9aa7-4cd7-b182-0fa8848dafb2,102e40b3-8d82-4ac1-9f32-f768cfbe8b5c,service_228,ea5fba68-1125-fa0f-fe64-2d00afe89037,+14156440504,,phone,
396cea3a-1482-4588-b474-36b0f63ac798,102e40b3-8d82-4ac1-9f32-f768cfbe8b5c,service_228,ea5fba68-1125-fa0f-fe64-2d00afe89037,+18773843578,,domestic violence hotline,
5c1e7533-e9f4-4d60-bbe4-865ed1b38af6,102e40b3-8d82-4ac1-9f32-f768cfbe8b5c,service_228,ea5fba68-1125-fa0f-fe64-2d00afe89037,+18002736222,,after hours assistance,
ec875115-5129-43fa-b0b7-2689a206f4c2,cd8e16e9-f884-4dc7-af8a-be1537e8f218,service_194,cf8f760f-a37c-c97b-8b46-235d9d212bf6,+14159771270,,administration,
b2ccd3c8-6199-4ad9-abac-2028d98c8026,cd8e16e9-f884-4dc7-af8a-be1537e8f218,service_194,cf8f760f-a37c-c97b-8b46-235d9d212bf6,+14155522943,,drop-in center,
8110e038-7961-45f8-8766-31f96e5af430,cd8e16e9-f884-4dc7-af8a-be1537e8f218,service_194,cf8f760f-a37c-c97b-8b46-235d9d212bf6,+14152550165,,services for domestic violence survivors community offices (riley center),
5fbc96c4-24f9-4244-82f6-d184a1b61cf5,cd8e16e9-f884-4dc7-af8a-be1537e8f218,service_194,cf8f760f-a37c-c97b-8b46-235d9d212bf6,+14152552894,,children's program,
9e89a6f9-e3e4-4526-9b40-d39e4d11f784,cd8e16e9-f884-4dc7-af8a-be1537e8f218,service_194,cf8f760f-a37c-c97b-8b46-235d9d212bf6,+18883482216,,toll free - coordinated entry access point,
24feb4de-59e7-44be-bc45-2b8b508effe2,cd8e16e9-f884-4dc7-af8a-be1537e8f218,service_194,cf8f760f-a37c-c97b-8b46-235d9d212bf6,+14155977960,,msc-south shelter,
986b0b4a-53f7-4770-a9b3-74418d14ccae,cd8e16e9-f884-4dc7-af8a-be1537e8f218,service_194,cf8f760f-a37c-c97b-8b46-235d9d212bf6,+14157576560,,general inquiries,
4eaae23e-cf95-4062-a8e1-0c565d392f5b,d269415c-e4f1-41d3-b758-6f8fc9b96823,service_1754,ea5fba68-1125-fa0f-fe64-2d00afe89037,+14156440504,,phone,
75d52b42-93e1-4838-9881-bce27a8bc47e,d269415c-e4f1-41d3-b758-6f8fc9b96823,service_1754,ea5fba68-1125-fa0f-fe64-2d00afe89037,+18773843578,,domestic violence hotline,
49e7257f-a7e7-4472-8784-88795716af1d,d269415c-e4f1-41d3-b758-6f8fc9b96823,service_1754,ea5fba68-1125-fa0f-fe64-2d00afe89037,+18002736222,,after hours assistance,
715add27-f2a2-4e2b-a2a4-90c682340497,eabc9c68-b14a-420b-9865-6b7f565bc026,service_1753,ea5fba68-1125-fa0f-fe64-2d00afe89037,+14156440504,,phone,
dfcb1e65-981d-48f3-9e8d-c763a24957a6,eabc9c68-b14a-420b-9865-6b7f565bc026,service_1753,ea5fba68-1125-fa0f-fe64-2d00afe89037,+18773843578,,domestic violence hotline,
6dbd15a7-aaa6-4a02-ace4-79687b0647bd,eabc9c68-b14a-420b-9865-6b7f565bc026,service_1753,ea5fba68-1125-fa0f-fe64-2d00afe89037,+18002736222,,after hours assistance,
007e6404-619c-486f-833f-c62b9dbb6e8e,393fdeb2-e38e-4dee-87c2-e96d5b79c582,service_1090,07491670-7d7b-0d3b-d8ab-b71a7b7777bb,+14156424400,,main office,
b3ab6fe8-9f04-400f-8094-b5a50879d988,393fdeb2-e38e-4dee-87c2-e96d5b79c582,service_1090,07491670-7d7b-0d3b-d8ab-b71a7b7777bb,+14158727465,,kali k'iin,
c6f64dd5-7f51-4328-811c-98da1126e3f1,8b5c450d-58c2-4f87-8707-0d86f95e847d,service_3606,1af75742-57b8-5771-69cf-b7dc1502dea1,+14156159945,,phone,
24e8476a-e625-4229-9299-01115cc34be4,8b5c450d-58c2-4f87-8707-0d86f95e847d,service_3606,1af75742-57b8-5771-69cf-b7dc1502dea1,+14156159943,,fax,
b12a0bb7-3335-473f-a4b0-5786155b3594,a60bbf01-da72-424d-b1b6-5b4a81120cc0,service_2401,7c07a176-96b4-570e-eb58-726c0a557e63,+14152060263,,main office,
6177441f-6619-4090-a0d2-1f18c2fd2949,a60bbf01-da72-424d-b1b6-5b4a81120cc0,service_2401,7c07a176-96b4-570e-eb58-726c0a557e63,+14157491150,,homeless storage facility,
fe90043e-39b7-4854-923b-57d7a42df8ff,a60bbf01-da72-424d-b1b6-5b4a81120cc0,service_2401,7c07a176-96b4-570e-eb58-726c0a557e63,+14153681798,,emergency family shelter/family services center,
13b6a49c-ccc2-4992-9904-f54b433774ff,a60bbf01-da72-424d-b1b6-5b4a81120cc0,service_2401,7c07a176-96b4-570e-eb58-726c0a557e63,+14156420234,,programs office,
abcda87c-4efc-4b3c-a026-81c5585722ba,a60bbf01-da72-424d-b1b6-5b4a81120cc0,service_2401,7c07a176-96b4-570e-eb58-726c0a557e63,+14155875513,,student tutorial services,
be5c57a2-3f5d-45ba-bfb8-e337f7d7915b,b71f0427-1d4a-41da-b4e8-a0c5c22d86d1,service_5655,0a440b9d-cc17-9017-556c-e69d4c624ca5,+14154685100,,hq,
ec8259f4-a52f-402e-a811-268d80d35b12,b71f0427-1d4a-41da-b4e8-a0c5c22d86d1,service_5655,0a440b9d-cc17-9017-556c-e69d4c624ca5,+14158228200,,mainline - outpatient behavioral health clinic ,
4566218b-bcbd-4d38-aaa6-e087534613d2,b71f0427-1d4a-41da-b4e8-a0c5c22d86d1,service_5655,0a440b9d-cc17-9017-556c-e69d4c624ca5,+16282175930,,balboa teen health center ,
2813335e-8cab-46b9-9ebd-12ffad2ba900,9a12318f-b7fe-44f8-8374-93baf0db69a9,service_3317,2385c306-3ec1-6278-21e2-9ce38c4ca4f3,+16505570354,,gift of love shelter,
f9caefdd-ebcf-4cb9-97bc-5dada1f894e6,9a12318f-b7fe-44f8-8374-93baf0db69a9,service_3317,2385c306-3ec1-6278-21e2-9ce38c4ca4f3,+14155502465,,queen of peace shelter,
